# Program:featureCounts v1.5.3; Command:"featureCounts" "-s" "0" "-t" "exon" "-g" "transcript_id" "-p" "-B" "-C" "-a" "/cromwell_root/broad-dsde-mint-dev-teststorage/demo/gencodev19_chr21.gtf" "-o" "demo.transcripts.counts.txt" "/cromwell_root/broad-dsde-mint-dev-cromwell-execution/cromwell-executions/Ss2RsemSingleSample/ddd4b5c7-e0de-4e2e-a1eb-74c32107f3aa/call-Star/Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/cromwell_root/broad-dsde-mint-dev-cromwell-execution/cromwell-executions/Ss2RsemSingleSample/ddd4b5c7-e0de-4e2e-a1eb-74c32107f3aa/call-Star/Aligned.sortedByCoord.out.bam
APP|ENST00000415997.1	chr21;chr21;chr21;chr21;chr21;chr21	27347503;27348267;27354657;27369675;27394156;27423316	27347541;27348341;27354790;27369731;27394358;27423348	-;-;-;-;-;-	541	0
APP|ENST00000463070.1	chr21;chr21;chr21	27394238;27423316;27425552	27394358;27423509;27425818	-;-;-	582	0
APP|ENST00000462267.1	chr21;chr21	27461827;27484296	27462388;27484400	-;-	667	0
APP|ENST00000354192.3	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	27252861;27264034;27269885;27277336;27284053;27326904;27327941;27347383;27348267;27354657;27394156;27423316;27425552;27462259;27542882	27254082;27264180;27269985;27277389;27284274;27327003;27328069;27347541;27348341;27354790;27394358;27423509;27425664;27462388;27543065	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3167	0
APP|ENST00000439274.2	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	27253643;27264034;27269885;27277336;27284053;27326904;27327941;27347383;27348267;27354657;27369675;27372330;27394156;27423316;27425552;27462259;27542882	27254082;27264180;27269985;27277389;27284274;27327003;27328069;27347541;27348341;27354790;27369731;27372497;27394358;27423509;27425664;27462388;27542972	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2517	0
APP|ENST00000448850.1	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	27317839;27326904;27327941;27347383;27348267;27354657;27372330;27394156;27423316;27425552;27462259	27318290;27327003;27328069;27347541;27348341;27354790;27372497;27394358;27423509;27425664;27462377	-;-;-;-;-;-;-;-;-;-;-	1846	1
APP|ENST00000348990.5	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	27252861;27264034;27269885;27277336;27284053;27326904;27327941;27347383;27348267;27354657;27394156;27423316;27425552;27462259;27484296;27542882	27254082;27264180;27269985;27277389;27284274;27327003;27328069;27347541;27348341;27354790;27394358;27423509;27425664;27462388;27484463;27543085	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3355	0
APP|ENST00000359726.3	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	27252862;27264034;27269885;27277336;27284053;27326904;27327941;27347383;27348267;27354657;27369675;27394156;27423316;27425552;27462259;27484296;27542882	27254082;27264180;27269985;27277389;27284274;27327003;27328069;27347541;27348341;27354790;27369731;27394358;27423509;27425664;27462388;27484463;27543138	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3464	0
AP001062.1|ENST00000333748.3	chr21;chr21	45751119;45751415	45751412;45751543	+;+	423	0
GPX1P2|ENST00000429271.1	chr21	28515663	28516268	-	606	1
BX322557.10|ENST00000454115.2	chr21;chr21;chr21	46707967;46709266;46710386	46708159;46709353;46710493	+;+;+	389	0
BX322557.10|ENST00000400362.2	chr21;chr21;chr21	46707977;46709266;46710386	46708080;46709353;46711653	+;+;+	1460	0
MEMO1P1|ENST00000412073.1	chr21	37502669	37504208	+	1540	0
MEMO1P1|ENST00000452572.1	chr21	37502787	37503674	+	888	0
PWP2|ENST00000471490.1	chr21;chr21;chr21;chr21;chr21;chr21	45539040;45540229;45540512;45540833;45544461;45546781	45539404;45540377;45540659;45542238;45546000;45547736	+;+;+;+;+;+	4564	0
PWP2|ENST00000291576.7	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	45527171;45528865;45533634;45534060;45534506;45535145;45535572;45537701;45538644;45539268;45540229;45540512;45540833;45542058;45544461;45545892;45546781;45547813;45548128;45548433;45550479	45527315;45528977;45533728;45534159;45534649;45535280;45535801;45537844;45538714;45539404;45540377;45540659;45540983;45542238;45544608;45546000;45546846;45548031;45548278;45548507;45551063	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3297	0
PWP2|ENST00000494310.1	chr21;chr21;chr21;chr21;chr21;chr21	45545892;45546781;45547456;45547813;45548128;45548433	45546000;45546846;45547574;45548031;45548278;45548480	+;+;+;+;+;+	712	0
PWP2|ENST00000486126.1	chr21;chr21;chr21;chr21	45534457;45535145;45535572;45537701	45534649;45535280;45535801;45537724	+;+;+;+	583	0
PWP2|ENST00000476948.1	chr21;chr21;chr21	45547680;45548128;45548433	45548031;45548278;45548532	+;+;+	603	0
PWP2|ENST00000456705.1	chr21;chr21;chr21;chr21;chr21;chr21	45527254;45528865;45533634;45534506;45535145;45535572	45527315;45528977;45533728;45534649;45535280;45535625	+;+;+;+;+;+	604	0
AP000275.65|ENST00000431216.1	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	33951132;33954510;33974582;33975471;33976435;33979959;33982148;33984415	33951141;33954725;33974677;33975602;33976593;33980026;33982315;33984456	-;-;-;-;-;-;-;-	891	0
AP000275.65|ENST00000553001.1	chr21;chr21;chr21;chr21;chr21;chr21;chr21	33951133;33954510;33975471;33976435;33979959;33982148;33984415	33951141;33954725;33975602;33976593;33980026;33982315;33984591	-;-;-;-;-;-;-	929	0
PRED58|ENST00000596207.1	chr21;chr21;chr21;chr21	46520728;46525754;46528690;46534727	46521105;46525899;46528753;46534873	-;-;-;-	735	0
AP001469.5|ENST00000418029.1	chr21;chr21	47640183;47641677	47640391;47641992	+;+	525	0
RPL34P3|ENST00000421454.2	chr21	36844393	36844730	-	338	0
MRPL39|ENST00000307301.7	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	26957968;26960013;26961147;26965124;26966205;26969614;26972111;26973680;26976108;26978761;26979715	26958066;26960101;26961194;26965277;26966270;26969726;26972178;26973779;26976247;26978967;26979829	-;-;-;-;-;-;-;-;-;-;-	1199	1
MRPL39|ENST00000352957.4	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	26957968;26961147;26965124;26966205;26969614;26972111;26973680;26976108;26978761;26979715	26958066;26961194;26965277;26966270;26969726;26972178;26973779;26976247;26978967;26979829	-;-;-;-;-;-;-;-;-;-	1110	0
MRPL39|ENST00000419219.1	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	26965124;26966205;26969614;26972111;26973680;26976108;26978761;26979715	26965277;26966270;26969726;26972148;26973779;26976247;26978967;26979796	-;-;-;-;-;-;-;-	900	0
POFUT2|ENST00000451615.1	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	46687613;46689754;46696932;46698018;46702264;46702719;46703298;46705593	46687628;46689934;46697057;46698084;46702374;46702853;46703442;46705606	-;-;-;-;-;-;-;-	795	0
POFUT2|ENST00000471540.1	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	46683843;46685937;46687505;46689754;46696932;46697148;46698018;46702264;46703298	46685550;46686142;46687628;46689934;46697057;46697688;46698084;46702374;46703409	-;-;-;-;-;-;-;-;-	3176	0
POFUT2|ENST00000331343.7	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	46683843;46689754;46696932;46698018;46702264;46703298;46705593;46707656	46687628;46689934;46697057;46698084;46702374;46703442;46705843;46707813	-;-;-;-;-;-;-;-	4825	0
POFUT2|ENST00000493811.1	chr21;chr21;chr21;chr21	46702284;46703298;46705593;46707656	46702313;46703442;46705843;46707806	-;-;-;-	577	0
POFUT2|ENST00000460932.1	chr21;chr21;chr21	46685315;46687505;46689754	46685550;46687628;46690009	-;-;-	616	0
POFUT2|ENST00000334538.9	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	46683843;46685937;46687505;46689754;46696932;46698018;46702264;46703298;46705593;46707656	46685550;46686142;46687628;46689934;46697057;46698084;46702374;46703442;46705843;46707813	-;-;-;-;-;-;-;-;-;-	3077	0
POFUT2|ENST00000463917.1	chr21;chr21	46687441;46689754	46687628;46690006	-;-	441	0
POFUT2|ENST00000468360.1	chr21;chr21;chr21;chr21;chr21	46689766;46696932;46698018;46705593;46707656	46689934;46697057;46698084;46705843;46707799	-;-;-;-;-	757	0
POFUT2|ENST00000493524.1	chr21;chr21;chr21;chr21;chr21;chr21	46689756;46696932;46698018;46702264;46705593;46707656	46689934;46697057;46698084;46702374;46705843;46707811	-;-;-;-;-;-	890	0
POFUT2|ENST00000485190.1	chr21;chr21	46685289;46685937	46685550;46686290	-;-	616	0
POFUT2|ENST00000349485.5	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	46683843;46687505;46689754;46696932;46698018;46702264;46703298;46705593;46707656	46685550;46687628;46689934;46697057;46698084;46702374;46703442;46705843;46707813	-;-;-;-;-;-;-;-;-	2871	0
POFUT2|ENST00000476653.1	chr21;chr21	46705398;46707656	46705843;46707807	-;-	598	0
AL773602.1|ENST00000339001.5	chr21;chr21	46020522;46021346	46021315;46021649	+;+	1098	0
MAP3K7CL|ENST00000492930.1	chr21;chr21;chr21;chr21;chr21;chr21	30449817;30458134;30463822;30463989;30464760;30474829	30450034;30458238;30463897;30464082;30464902;30474961	+;+;+;+;+;+	769	0
MAP3K7CL|ENST00000339024.4	chr21;chr21;chr21;chr21;chr21;chr21;chr21	30464575;30481361;30503116;30505627;30521510;30532262;30547033	30464902;30481504;30503244;30505735;30521571;30532377;30548210	+;+;+;+;+;+;+	2066	0
MAP3K7CL|ENST00000399935.2	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	30449954;30458134;30463822;30463989;30464760;30503116;30505627;30521510;30532262;30547033	30450034;30458238;30463897;30464082;30464902;30503244;30505735;30521571;30532377;30548210	+;+;+;+;+;+;+;+;+;+	2093	0
MAP3K7CL|ENST00000286791.5	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	30449954;30458134;30463822;30463989;30464760;30505627;30521510;30532262;30547033	30450034;30458238;30463897;30464082;30464902;30505735;30521571;30532377;30548208	+;+;+;+;+;+;+;+;+	1962	0
MAP3K7CL|ENST00000545939.1	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	30449812;30458134;30463822;30463989;30464760;30481361;30521510;30532262;30547033	30450034;30458238;30463897;30464082;30464902;30481504;30521571;30532377;30547751	+;+;+;+;+;+;+;+;+	1682	0
MAP3K7CL|ENST00000399925.1	chr21;chr21;chr21;chr21;chr21	30503282;30505627;30521510;30532262;30547033	30503371;30505735;30521571;30532377;30547347	+;+;+;+;+	692	0
MAP3K7CL|ENST00000470800.1	chr21;chr21;chr21;chr21	30517880;30521510;30532262;30547033	30518028;30521571;30532377;30547540	+;+;+;+	835	0
MAP3K7CL|ENST00000496779.1	chr21;chr21;chr21;chr21;chr21;chr21;chr21	30449792;30452873;30458134;30463822;30463989;30464760;30481361	30450034;30453029;30458238;30463897;30464082;30464902;30482112	+;+;+;+;+;+;+	1570	0
MAP3K7CL|ENST00000460883.1	chr21;chr21;chr21;chr21	30494376;30521510;30532262;30547033	30494534;30521571;30532377;30547350	+;+;+;+	655	0
MAP3K7CL|ENST00000399934.1	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	30449954;30458134;30463822;30463989;30464760;30505627;30521510;30532262;30547033	30450034;30458238;30463897;30464082;30464902;30505735;30521571;30532377;30548210	+;+;+;+;+;+;+;+;+	1964	0
MAP3K7CL|ENST00000419845.1	chr21;chr21;chr21;chr21	30449796;30452873;30458134;30463822	30450034;30453029;30458238;30463897	+;+;+;+	577	0
MAP3K7CL|ENST00000399947.2	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	30452873;30457393;30458134;30463822;30463989;30464760;30521510;30532262;30547033	30453029;30457464;30458238;30463897;30464082;30464902;30521571;30532377;30548210	+;+;+;+;+;+;+;+;+	2003	0
MAP3K7CL|ENST00000451489.1	chr21;chr21;chr21;chr21;chr21	30503578;30505627;30521510;30532262;30547033	30503812;30505735;30521571;30532377;30547066	+;+;+;+;+	556	0
MAP3K7CL|ENST00000399928.1	chr21;chr21;chr21;chr21;chr21	30502806;30505627;30521510;30532262;30547033	30503244;30505735;30521571;30532377;30548210	+;+;+;+;+	1904	0
MAP3K7CL|ENST00000341618.4	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	30449954;30458134;30463822;30463989;30464760;30521510;30532262;30547033	30450034;30458238;30463897;30464082;30464902;30521571;30532377;30548210	+;+;+;+;+;+;+;+	1855	0
MAP3K7CL|ENST00000399926.1	chr21;chr21;chr21;chr21;chr21;chr21	30502959;30503116;30505627;30521510;30532262;30547033	30502988;30503244;30505735;30521571;30532377;30547335	+;+;+;+;+;+	749	0
BAGE2|ENST00000474011.1	chr21;chr21;chr21	11059928;11097546;11098703	11061030;11097646;11098980	-;-;-	1482	0
BAGE2|ENST00000496773.1	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	10996026;10998207;11011438;11012917;11013491;11014938;11015358;11020813;11021110;11026723;11029598;11038728;11047481;11049450;11058161	10996139;10998335;11011650;11012982;11013600;11015102;11015544;11020917;11021211;11026839;11029717;11039447;11047595;11049621;11058323	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2598	0
BAGE2|ENST00000470054.1	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	11020842;11021110;11026723;11029598;11038728;11047481;11049450;11058161;11097546;11098703	11020917;11021211;11026839;11029717;11039429;11047595;11049621;11058323;11097646;11098925	-;-;-;-;-;-;-;-;-;-	1891	0
CLDN17|ENST00000286808.3	chr21	31538241	31538971	-	731	0
SNORA80|ENST00000363922.1	chr21	33749496	33749631	-	136	0
OLIG1|ENST00000426947.1	chr21;chr21	34443271;34444358	34443991;34444719	+;+	1083	0
OLIG1|ENST00000382348.1	chr21	34442450	34444726	+	2277	0
OLIG1|ENST00000333063.5	chr21	34442450	34444725	+	2276	0
OLIG1|ENST00000498799.1	chr21;chr21	34443974;34444358	34444011;34444719	+;+	400	0
RWDD2B|ENST00000286777.2	chr21;chr21;chr21;chr21	30378080;30380082;30380716;30391532	30378972;30380444;30380942;30391673	-;-;-;-	1625	0
RWDD2B|ENST00000481411.1	chr21;chr21;chr21	30380221;30381916;30391532	30380942;30382013;30391661	-;-;-	950	0
RWDD2B|ENST00000471269.1	chr21;chr21;chr21;chr21;chr21	30380385;30380561;30380716;30381948;30391532	30380444;30380628;30380942;30382013;30391681	-;-;-;-;-	571	0
RWDD2B|ENST00000472184.1	chr21;chr21;chr21;chr21	30378080;30380082;30380561;30391532	30378972;30380444;30380942;30391680	-;-;-;-	1787	0
RWDD2B|ENST00000493196.1	chr21;chr21;chr21;chr21;chr21	30376705;30380082;30380561;30380716;30391532	30378972;30380444;30380628;30380942;30391699	-;-;-;-;-	3094	0
RWDD2B|ENST00000486719.1	chr21;chr21;chr21;chr21;chr21;chr21	30378080;30380082;30380561;30380716;30381916;30391532	30378972;30380444;30380628;30380942;30382013;30391671	-;-;-;-;-;-	1789	0
RWDD2B|ENST00000466746.1	chr21;chr21	30380197;30391532	30380942;30391627	-;-	842	0
AP001425.14|ENST00000605450.1	chr21	39576638	39577700	-	1063	0
RPS3AP1|ENST00000413190.1	chr21	21802755	21803074	-	320	0
AP000459.4|ENST00000262354.4	chr21;chr21;chr21;chr21;chr21	24733426;24736360;24744649;24745270;24757009	24734561;24736515;24744770;24745406;24757182	-;-;-;-;-	1725	0
TTC3-AS1|ENST00000424733.1	chr21;chr21	38559967;38566109	38560944;38566227	-;-	1097	0
AP001412.1|ENST00000608405.1	chr21	38640085	38640785	+	701	0
C21orf67|ENST00000330551.3	chr21;chr21;chr21;chr21	46354640;46355542;46357454;46359508	46355011;46355805;46357597;46359760	-;-;-;-	1033	0
C21orf67|ENST00000380070.4	chr21;chr21;chr21;chr21	46355573;46355660;46357454;46359508	46355609;46355805;46357597;46359828	-;-;-;-	648	0
C21orf67|ENST00000397841.1	chr21;chr21;chr21;chr21	46352729;46354849;46355542;46359508	46354283;46355011;46355805;46359828	-;-;-;-	2303	0
MTND6P21|ENST00000443620.1	chr21;chr21	45892778;45893494	45893130;45893622	+;+	482	0
LINC00162|ENST00000422199.1	chr21;chr21	46419122;46424359	46419571;46424642	-;-	734	0
CR392039.1|ENST00000459307.1	chr21	9937936	9938018	-	83	0
BRWD1-AS1|ENST00000423274.2	chr21;chr21;chr21	40687633;40688971;40694728	40687741;40689135;40695144	+;+;+	691	0
AF127577.8|ENST00000430391.1	chr21;chr21	16290855;16318876	16291093;16319417	+;+	781	0
AP000705.6|ENST00000454567.1	chr21	23526270	23526619	-	350	0
MIR3197|ENST00000582241.1	chr21	42539484	42539556	+	73	0
BRWD1-IT2|ENST00000539811.1	chr21	40685888	40686369	-	482	0
BRWD1-IT2|ENST00000603064.1	chr21	40685887	40686886	-	1000	0
snoZ6|ENST00000583496.1	chr21	45858918	45858993	+	76	0
SNORA32|ENST00000384772.1	chr21	42911133	42911253	+	121	0
AP000403.3|ENST00000603349.1	chr21	20993009	20993859	+	851	0
MRPL51P2|ENST00000450190.1	chr21	44535444	44535819	-	376	0
AP000459.7|ENST00000433101.1	chr21;chr21	24849960;24862314	24850090;24863043	+;+	861	0
AP000275.64|ENST00000411943.1	chr21;chr21	33996726;33997095	33996803;33997406	-;-	390	0
PSMD4P1|ENST00000433951.1	chr21;chr21	37858281;37859590	37859269;37859709	-;-	1109	0
KRTAP6-3|ENST00000391624.1	chr21	31964759	31965394	+	636	0
AF127577.10|ENST00000446301.1	chr21;chr21	16333630;16336406	16334042;16336554	+;+	562	0
AP000402.3|ENST00000446404.1	chr21;chr21	26258990;26274992	26259450;26275070	-;-	540	0
RPL23AP12|ENST00000599796.1	chr21	40499496	40499966	+	471	0
RPL23AP12|ENST00000467573.1	chr21	40499494	40499966	+	473	0
AP000320.6|ENST00000440403.1	chr21;chr21	35743101;35747536	35743459;35747647	-;-	471	0
ADAMTS5|ENST00000284987.5	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	28290231;28302205;28304323;28305180;28306785;28315699;28327058;28337607	28296939;28302380;28304498;28305363;28307068;28315866;28327190;28338832	-;-;-;-;-;-;-;-	9056	0
AP001437.1|ENST00000608783.1	chr21	38737779	38738234	-	456	0
KRTAP12-2|ENST00000360770.3	chr21	46086106	46086844	-	739	0
ZNF295-AS1|ENST00000412906.1	chr21;chr21	43429303;43444415	43429693;43444975	+;+	952	0
ZNF295-AS1|ENST00000429739.1	chr21;chr21	43442376;43444415	43442539;43445033	+;+	783	0
ZNF295-AS1|ENST00000455701.1	chr21;chr21	43442132;43444415	43442320;43444975	+;+	750	0
ZNF295-AS1|ENST00000596595.1	chr21	43442192	43445060	+	2869	0
AIRE|ENST00000530812.1	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	45705721;45706440;45706861;45708228;45709871;45710981;45712185;45712876;45713672;45714284;45716266;45717539	45706021;45706614;45707474;45709685;45709951;45711093;45712284;45713058;45713793;45714386;45716328;45718531	+;+;+;+;+;+;+;+;+;+;+;+	4306	0
AIRE|ENST00000527919.1	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	45705729;45706440;45706861;45708228;45709111;45709540;45709871;45710981;45712185;45712876;45713672;45714255;45716266;45717539	45706021;45706614;45707474;45708341;45709299;45709685;45709951;45711093;45712284;45713058;45713793;45714386;45716328;45717622	+;+;+;+;+;+;+;+;+;+;+;+;+;+	2409	0
AIRE|ENST00000329347.4	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	45710690;45710978;45712185;45712876;45712991;45713672;45714284;45716266;45717539	45710947;45711093;45712284;45712908;45713058;45713793;45714386;45716328;45718102	+;+;+;+;+;+;+;+;+	1427	0
AIRE|ENST00000397994.4	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	45710638;45712185;45712876;45712991;45713672;45714284;45716266;45717539	45711093;45712284;45712908;45713058;45713793;45714386;45716328;45717872	+;+;+;+;+;+;+;+	1279	0
AIRE|ENST00000355347.4	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	45710690;45710978;45712185;45712876;45713672;45714284;45716266;45717539	45710947;45711093;45712284;45713058;45713793;45714386;45716328;45718102	+;+;+;+;+;+;+;+	1509	0
AIRE|ENST00000291582.5	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	45705763;45706440;45706861;45707400;45708228;45709540;45709871;45710978;45712185;45712876;45713672;45714284;45716266;45717539	45706021;45706614;45707016;45707474;45708341;45709685;45709951;45711093;45712284;45713058;45713793;45714386;45716328;45718102	+;+;+;+;+;+;+;+;+;+;+;+;+;+	2257	0
AIRE|ENST00000337909.5	chr21;chr21;chr21;chr21;chr21;chr21;chr21	45710638;45712185;45712876;45713672;45714284;45716266;45717539	45711093;45712284;45713058;45713793;45714386;45716328;45717872	+;+;+;+;+;+;+	1361	0
VN1R7P|ENST00000414133.1	chr21;chr21	11153837;11154821	11154502;11155057	-;-	903	0
ANKRD30BP1|ENST00000309142.3	chr21;chr21;chr21	14756570;14758603;14760049	14757481;14758749;14760261	-;-;-	1272	0
ANKRD30BP1|ENST00000451052.1	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	14756570;14758603;14760044;14765867;14766038;14768289;14771291;14771678;14777502;14780641;14785917;14786083;14793921;14795448;14798467;14798633;14799901;14800066	14757481;14758766;14760257;14765939;14766066;14768378;14771352;14771756;14777574;14780671;14785989;14786111;14794011;14795509;14798539;14798661;14799973;14800094	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2186	0
TFF1|ENST00000291527.2	chr21;chr21;chr21	43782391;43783364;43786520	43782604;43783516;43786703	-;-;-	551	0
PSMG1|ENST00000481921.1	chr21;chr21;chr21	40547384;40549361;40550375	40547590;40549497;40550746	-;-;-	716	0
PSMG1|ENST00000331573.3	chr21;chr21;chr21;chr21;chr21;chr21;chr21	40546695;40549361;40550375;40551850;40552211;40553698;40555178	40547590;40549497;40550573;40551912;40552362;40553804;40555777	-;-;-;-;-;-;-	2154	0
PSMG1|ENST00000411828.1	chr21;chr21;chr21;chr21;chr21;chr21;chr21	40547514;40549361;40550375;40551850;40552211;40553698;40554990	40547590;40549497;40550573;40551912;40552362;40553804;40555213	-;-;-;-;-;-;-	959	0
PSMG1|ENST00000431628.1	chr21;chr21;chr21;chr21;chr21;chr21	40547516;40549361;40550375;40551850;40552211;40555178	40547590;40549497;40550573;40551912;40552362;40555311	-;-;-;-;-;-	760	0
PSMG1|ENST00000380900.2	chr21;chr21;chr21;chr21;chr21;chr21	40547516;40549361;40550375;40552211;40553698;40555178	40547590;40549497;40550573;40552362;40553804;40555414	-;-;-;-;-;-	907	0
RPL23AP4|ENST00000427757.1	chr21	48110676	48111138	+	463	0
RPL23AP4|ENST00000434638.1	chr21	48110795	48111157	+	363	0
EEF1A1P1|ENST00000447052.1	chr21	24762579	24763317	+	739	1
BACE2|ENST00000465326.1	chr21;chr21;chr21;chr21;chr21;chr21;chr21	42608555;42609440;42613746;42615303;42617889;42622679;42629085	42608591;42609656;42613874;42615437;42617990;42622828;42629253	+;+;+;+;+;+;+	939	0
BACE2|ENST00000466122.1	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	42602045;42609440;42613746;42615303;42617889;42622679;42629085;42647298	42602150;42609656;42613874;42615437;42617990;42622828;42629253;42648524	+;+;+;+;+;+;+;+	2235	0
BACE2|ENST00000463674.1	chr21;chr21;chr21;chr21;chr21;chr21	42613672;42615303;42617889;42622679;42629085;42647298	42613874;42615437;42617990;42622828;42629253;42647551	+;+;+;+;+;+	1013	0
BACE2|ENST00000330333.6	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	42539728;42598193;42609440;42613746;42615303;42617889;42622679;42629085;42647298	42540502;42598281;42609656;42613874;42615437;42617990;42622828;42629253;42648524	+;+;+;+;+;+;+;+;+	2993	0
BACE2|ENST00000328735.6	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	42539728;42598193;42609440;42613746;42615303;42617889;42622679;42647298	42540502;42598281;42609656;42613874;42615437;42617990;42622828;42648524	+;+;+;+;+;+;+;+	2824	0
BACE2|ENST00000470864.1	chr21;chr21;chr21;chr21	42597403;42598193;42609440;42613746	42597622;42598281;42609656;42613766	+;+;+;+	547	0
BACE2|ENST00000347667.5	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	42539728;42598193;42609440;42613746;42615303;42617889;42629085;42647298	42540502;42598281;42609656;42613874;42615437;42617990;42629253;42654445	+;+;+;+;+;+;+;+	8764	0
BACE2|ENST00000491838.1	chr21;chr21;chr21;chr21;chr21	42598230;42609440;42613746;42615303;42617889	42598281;42609656;42613874;42615437;42618198	+;+;+;+;+	843	0
BACE2|ENST00000475618.1	chr21;chr21	42624392;42629085	42624451;42629253	+;+	229	0
BACE2|ENST00000487994.1	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	42598193;42609440;42613746;42615303;42617889;42622679;42629085;42647298	42598281;42609656;42613866;42615437;42617990;42622828;42629253;42647308	+;+;+;+;+;+;+;+	994	0
AP000322.54|ENST00000410005.1	chr21	35772615	35773370	-	756	0
Y_RNA|ENST00000362828.1	chr21	24804501	24804602	-	102	0
AP000230.1|ENST00000608591.1	chr21;chr21;chr21	27543189;27587064;27588021	27543370;27587180;27589700	+;+;+	1979	0
AP000230.1|ENST00000609365.1	chr21;chr21;chr21;chr21	27543234;27552856;27587064;27588021	27543370;27552920;27587180;27588260	+;+;+;+	559	0
KRTAP19-10P|ENST00000445258.1	chr21	31886931	31887117	-	187	0
AP001619.3|ENST00000458654.1	chr21;chr21	43290742;43291844	43291008;43292163	+;+	587	0
IFNAR2|ENST00000447980.1	chr21;chr21;chr21;chr21;chr21;chr21	34602714;34614191;34615978;34617256;34619023;34621014	34602862;34614282;34616019;34617379;34619195;34621159	+;+;+;+;+;+	726	0
IFNAR2|ENST00000382241.3	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	34602231;34614191;34615978;34617256;34619023;34621014;34624967;34632902;34635098	34602521;34614282;34616019;34617379;34619195;34621159;34625135;34633032;34636818	+;+;+;+;+;+;+;+;+	2889	0
IFNAR2|ENST00000417007.1	chr21;chr21;chr21;chr21;chr21	34621049;34624443;34624967;34632902;34634866	34621159;34624553;34625135;34633032;34635062	+;+;+;+;+	719	0
IFNAR2|ENST00000413881.1	chr21;chr21;chr21;chr21;chr21;chr21	34602487;34617256;34619023;34621014;34624967;34635098	34602521;34617379;34619195;34621159;34625135;34635160	+;+;+;+;+;+	710	0
